EMD_CD,EMD_ENG_NM,EMD_KOR_NM,행정주소,법정동주소,SIDO,비행불가능여부,터미널유무,승용차,버스,혼잡강도,공항,총.인구수,세대.수,기차역.ktx역포함.여부,면적15k이상건물여부,id,long,lat,터미널과의거리,기차역과의거리,공항과의거리
27110124,Taepyeongno 1(il)-ga,태평로1가,대구광역시 중구 성내1동,대구광역시 중구 태평로1가,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2338,128.5980987,35.87507381,1.095025244,0.199331684,5.872661805
27110125,Gyo-dong,교동,대구광역시 중구 성내1동,대구광역시 중구 교동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2339,128.5987305,35.87328489,0.939232305,0.37204098,5.893550452
27110126,Yongdeok-dong,용덕동,대구광역시 중구 성내1동,대구광역시 중구 용덕동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2340,128.5967234,35.87402243,0.944062831,0.213511797,6.030584934
27110127,Sangdeok-dong,상덕동,대구광역시 중구 성내1동,대구광역시 중구 상덕동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2341,128.5979466,35.87375045,0.954099737,0.288146163,5.939213924
27110128,Wanjeon-dong,완전동,대구광역시 중구 성내1동,대구광역시 중구 완전동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2342,128.5993115,35.8725033,0.893119854,0.472627414,5.879717412
27110143,Pojeong-dong,포정동,대구광역시 중구 성내1동,대구광역시 중구 포정동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2357,128.5932563,35.87181527,0.659793925,0.520783721,6.412585407
27110148,Dongseongno 1(il)-ga,동성로1가,대구광역시 중구 성내1동,대구광역시 중구 동성로1가,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2362,128.5958333,35.87326653,0.842131739,0.291757379,6.136273184
27110150,Bukseongno 1(il)-ga,북성로1가,대구광역시 중구 성내1동,대구광역시 중구 북성로1가,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2364,128.5935608,35.87433052,0.937774506,0.289037172,6.285361533
27110151,Hwajeon-dong,화전동,대구광역시 중구 성내1동,대구광역시 중구 화전동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2365,128.594929,35.873162,0.815721474,0.320981704,6.216396703
27110109,Janggwan-dong,장관동,대구광역시 중구 성내2동,대구광역시 중구 장관동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2323,128.5906185,35.86876896,0.424122074,0.933321548,6.765546792
